GACC,PSA,PSAName,stationId,StationName,FuelModel,PeriodStart,PeriodEnd,PctlFilterStart,PctlFilterEnd
ONCC,NC01,North Coast,40102,GASQUET 2,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC01,North Coast,40421,EEL RIVER CAMP,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC01,North Coast,40425,SCHOOLHOUSE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC01,North Coast,40428,WESTSIDE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC01,North Coast,40429,KNEELAND,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC02,Mid Coast To Mendocino,41001,BOONVILLE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC02,Mid Coast To Mendocino,41005,EEL RIVER (MNF),Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC02,Mid Coast To Mendocino,41015,RODEO VALLEY,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC02,Mid Coast To Mendocino,41018,MENDOCINO PASS,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC02,Mid Coast To Mendocino,41101,ALDER SPRINGS,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC02,Mid Coast To Mendocino,41402,HIGH GLADE LOOKOUT,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC02,Mid Coast To Mendocino,41406,SODA CREEK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC02,Mid Coast To Mendocino,41411,KONOCTI,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03A,Bay Marine,42308,BARNABE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03A,Bay Marine,42309,WOODACRE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03A,Bay Marine,42310,BIG ROCK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03A,Bay Marine,42312,MIDDLE PEAK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03A,Bay Marine,43009,LAS TRAMPAS,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03A,Bay Marine,43304,LA HONDA,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03A,Bay Marine,43309,PULGAS,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03A,Bay Marine,43402,OAKLAND NORTH,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03A,Bay Marine,43403,OAKLAND SOUTH,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03A,Bay Marine,43802,CORRALITOS,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03B,Diablo-Santa Cruz Mtns,43008,BLACK DIAMOND,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03B,Diablo-Santa Cruz Mtns,43011,MALLORY RIDGE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03B,Diablo-Santa Cruz Mtns,43013,LOS VAQUEROS,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03B,Diablo-Santa Cruz Mtns,43404,ROSE PEAK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03B,Diablo-Santa Cruz Mtns,43407,ALTAMONT,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03B,Diablo-Santa Cruz Mtns,43502,DIABLO GRANDE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC03B,Diablo-Santa Cruz Mtns,43809,BEN LOMOND,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40101,CAMP SIX LOOKOUT,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40203,BLUE RIDGE (KNF),Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40217,MT SHASTA,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40218,OAK KNOLL,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40222,SAWYERS BAR,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40225,SLATER BUTTE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40231,SOMES BAR,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40237,COLLINS BALDY LO,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40239,QUARTZ HILL,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40244,ASH CREEK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40245,CALLAHAN #2,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40246,DUTCH INDY,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40408,HOOPA,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40501,BIG BAR,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40503,HAYFORK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40507,MAD RIVER,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40508,RUTH STATION,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40511,YOLLA BOLLA,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40512,FRIEND MTN,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40516,TRINITY CAMP,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40517,SCORPION,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40518,BACKBONE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40519,UNDERWOOD,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40520,FIVE CENT,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40614,SUGARLOAF (SHF),Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC04,Northwestern Mtn,40618,SIMS,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,40611,REDDING,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,40615,WHITMORE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,40802,EAGLE PEAK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,40812,PATTYMOCUS,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,40814,CORNING,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,40816,THOMES CREEK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,41201,BANGOR,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,41211,COHASSET,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,41410,COUNTY LINE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,41503,STONYFORD,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,41907,LINCOLN,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC05,Sac Valley/Foothills,42202,BROOKS,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40221,ROUND MOUNTAIN,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40228,WEED AIRPORT,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40233,INDIAN WELL,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40240,JUANITA,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40242,BRAZIE RANCH,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40243,VAN BREMMER,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40247,BOLAM,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40302,BLUE MOUNTAIN,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40306,TIMBER MOUNTAIN,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40308,JUNIPER CREEK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40309,DEVILS GARDEN,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40312,RUSH CREEK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40313,BEAR FLAT,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40314,COLD SPRINGS,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC06,NE California,40630,SOLDIER MTN,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40609,MANZINITA LAKE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40635,OAK MTN,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40703,BOGARD,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40719,WESTWOOD,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40723,LADDER BUTTE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40730,GORDON,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40801,COLBY MTN,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40904,CHESTER,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40910,QUINCY,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40915,PIERCE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40916,CASHMAN,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,40921,DENTEN CREEK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,41213,CARPENTER RIDGE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,41214,JARBO GAP,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,41304,SADDLEBACK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,41701,PIKE COUNTY LOOKOUT,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,41806,WHITECLOUD,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,41908,SEEDORCHARD,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,42601,BEAVER,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,42603,BALD MOUNTAIN,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,42608,HELL HOLE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,42611,OWENS CAMP,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC07,Northern Sierra,42615,STEELY FORK,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC08,Far Eastside,40714,RAVENDALE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC08,Far Eastside,40724,DOYLE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC08,Far Eastside,40725,BLUE DOOR,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC08,Far Eastside,40727,HORSE LAKE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC08,Far Eastside,40728,BULL FLAT,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC08,Far Eastside,41302,DOG VALLEY,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC08,Far Eastside,41310,STAMPEDE,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC08,Far Eastside,41311,RICE CANYON,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC08,Far Eastside,260111,BARREL SPRINGS,Y,01/01/2005,12/31/2022,01/01,12/31
ONCC,NC08,Far Eastside,260112,JUNIPER SPRINGS,Y,01/01/2005,12/31/2022,01/01,12/31
